,rank,name,year,rating,genre
0,1.0,The Shawshank Redemption,1994,9.3,Drama
1,2.0,The Godfather,1972,9.2,"Crime,Drama"
2,3.0,The Dark Knight,2008,9.0,"Action,Crime,Drama"
3,4.0,The Godfather Part II,1974,9.0,"Crime,Drama"
4,5.0,12 Angry Men,1957,9.0,"Crime,Drama"
5,6.0,Schindler's List,1993,9.0,"Biography,Drama,History"
6,7.0,The Lord of the Rings: The Return of the King,2003,9.0,"Action,Adventure,Drama"
7,8.0,Pulp Fiction,1994,8.9,"Crime,Drama"
8,9.0,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,"Action,Adventure,Drama"
9,10.0,"The Good, the Bad and the Ugly",1966,8.8,"Adventure,Western"
10,11.0,Forrest Gump,1994,8.8,"Drama,Romance"
11,12.0,Fight Club,1999,8.8,Drama
12,13.0,The Lord of the Rings: The Two Towers,2002,8.8,"Action,Adventure,Drama"
13,14.0,Inception,2010,8.8,"Action,Adventure,Sci-Fi"
14,15.0,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,"Action,Adventure,Fantasy"
15,16.0,The Matrix,1999,8.7,"Action,Sci-Fi"
16,17.0,Goodfellas,1990,8.7,"Biography,Crime,Drama"
17,18.0,One Flew Over the Cuckoo's Nest,1975,8.7,Drama
18,19.0,Se7en,1995,8.6,"Crime,Drama,Mystery"
19,20.0,Seven Samurai,1954,8.6,"Action,Drama"
20,21.0,It's a Wonderful Life,1946,8.6,"Drama,Family,Fantasy"
21,22.0,The Silence of the Lambs,1991,8.6,"Crime,Drama,Thriller"
22,23.0,City of God,2002,8.6,"Crime,Drama"
23,24.0,Saving Private Ryan,1998,8.6,"Drama,War"
24,25.0,Interstellar,2014,8.6,"Adventure,Drama,Sci-Fi"
25,26.0,Life Is Beautiful,1997,8.6,"Comedy,Drama,Romance"
26,27.0,The Green Mile,1999,8.6,"Crime,Drama,Fantasy"
27,28.0,Star Wars: Episode IV - A New Hope,1977,8.6,"Action,Adventure,Fantasy"
28,29.0,Terminator 2: Judgment Day,1991,8.6,"Action,Sci-Fi"
29,30.0,Back to the Future,1985,8.5,"Adventure,Comedy,Sci-Fi"
30,31.0,Spirited Away,2001,8.6,"Animation,Adventure,Family"
31,32.0,The Pianist,2002,8.5,"Biography,Drama,Music"
32,33.0,Psycho,1960,8.5,"Horror,Mystery,Thriller"
33,34.0,Parasite,2019,8.5,"Drama,Thriller"
34,35.0,Léon: The Professional,1994,8.5,"Action,Crime,Drama"
35,36.0,The Lion King,1994,8.5,"Animation,Adventure,Drama"
36,37.0,Gladiator,2000,8.5,"Action,Adventure,Drama"
37,38.0,American History X,1998,8.5,"Crime,Drama"
38,39.0,The Departed,2006,8.5,"Crime,Drama,Thriller"
39,40.0,The Usual Suspects,1995,8.5,"Crime,Drama,Mystery"
40,41.0,The Prestige,2006,8.5,"Drama,Mystery,Sci-Fi"
41,42.0,Whiplash,2014,8.5,"Drama,Music"
42,43.0,Casablanca,1942,8.5,"Drama,Romance,War"
43,44.0,Grave of the Fireflies,1988,8.5,"Animation,Drama,War"
44,45.0,Harakiri,1962,8.6,"Action,Drama,Mystery"
45,46.0,The Intouchables,2011,8.5,"Biography,Comedy,Drama"
46,47.0,Modern Times,1936,8.5,"Comedy,Drama,Romance"
47,48.0,Once Upon a Time in the West,1968,8.5,Western
48,49.0,Rear Window,1954,8.5,"Mystery,Thriller"
49,50.0,Cinema Paradiso,1988,8.5,"Drama,Romance"
50,51.0,Alien,1979,8.5,"Horror,Sci-Fi"
51,52.0,City Lights,1931,8.5,"Comedy,Drama,Romance"
52,53.0,Apocalypse Now,1979,8.5,"Drama,Mystery,War"
53,54.0,Memento,2000,8.4,"Mystery,Thriller"
54,55.0,Django Unchained,2012,8.4,"Drama,Western"
55,56.0,Indiana Jones and the Raiders of the Lost Ark,1981,8.4,"Action,Adventure"
56,57.0,WALL·E,2008,8.4,"Animation,Adventure,Family"
57,58.0,The Lives of Others,2006,8.4,"Drama,Mystery,Thriller"
58,59.0,Sunset Blvd.,1950,8.4,"Drama,Film-Noir"
59,60.0,Paths of Glory,1957,8.4,"Drama,War"
60,61.0,The Shining,1980,8.4,"Drama,Horror"
61,62.0,The Great Dictator,1940,8.4,"Comedy,Drama,War"
62,63.0,Avengers: Infinity War,2018,8.4,"Action,Adventure,Sci-Fi"
63,64.0,Witness for the Prosecution,1957,8.4,"Crime,Drama,Mystery"
64,65.0,Aliens,1986,8.4,"Action,Adventure,Sci-Fi"
65,66.0,Spider-Man: Into the Spider-Verse,2018,8.4,"Animation,Action,Adventure"
66,67.0,American Beauty,1999,8.4,Drama
67,68.0,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,"Comedy,War"
68,69.0,The Dark Knight Rises,2012,8.4,"Action,Drama"
69,70.0,Oldboy,2003,8.4,"Action,Drama,Mystery"
70,71.0,Inglourious Basterds,2009,8.3,"Adventure,Drama,War"
71,72.0,Amadeus,1984,8.4,"Biography,Drama,Music"
72,73.0,Coco,2017,8.4,"Animation,Adventure,Comedy"
73,74.0,Toy Story,1995,8.3,"Animation,Adventure,Comedy"
74,75.0,Joker,2019,8.4,"Crime,Drama,Thriller"
75,76.0,Braveheart,1995,8.4,"Biography,Drama,History"
76,77.0,The Boat,1981,8.4,"Drama,War"
77,78.0,Avengers: Endgame,2019,8.4,"Action,Adventure,Drama"
78,79.0,Princess Mononoke,1997,8.4,"Animation,Action,Adventure"
79,80.0,Once Upon a Time in America,1984,8.3,"Crime,Drama"
80,81.0,Good Will Hunting,1997,8.3,"Drama,Romance"
81,82.0,Your Name.,2016,8.4,"Animation,Drama,Fantasy"
82,83.0,3 Idiots,2009,8.4,"Comedy,Drama"
83,84.0,Singin' in the Rain,1952,8.3,"Comedy,Musical,Romance"
84,85.0,Requiem for a Dream,2000,8.3,Drama
85,86.0,Toy Story 3,2010,8.3,"Animation,Adventure,Comedy"
86,87.0,High and Low,1963,8.4,"Crime,Drama,Mystery"
87,88.0,Capernaum,2018,8.4,Drama
88,89.0,Star Wars: Episode VI - Return of the Jedi,1983,8.3,"Action,Adventure,Fantasy"
89,90.0,Eternal Sunshine of the Spotless Mind,2004,8.3,"Drama,Romance,Sci-Fi"
90,91.0,2001: A Space Odyssey,1968,8.3,"Adventure,Sci-Fi"
91,92.0,Reservoir Dogs,1992,8.3,"Crime,Thriller"
92,93.0,Come and See,1985,8.4,"Drama,Thriller,War"
93,94.0,The Hunt,2012,8.3,Drama
94,95.0,Citizen Kane,1941,8.3,"Drama,Mystery"
95,96.0,M,1931,8.3,"Crime,Mystery,Thriller"
96,97.0,Lawrence of Arabia,1962,8.3,"Adventure,Biography,Drama"
97,98.0,North by Northwest,1959,8.3,"Action,Adventure,Mystery"
98,99.0,Vertigo,1958,8.3,"Mystery,Romance,Thriller"
99,100.0,Ikiru,1952,8.3,Drama
100,101.0,Amélie,2001,8.3,"Comedy,Romance"
101,102.0,The Apartment,1960,8.3,"Comedy,Drama,Romance"
102,103.0,A Clockwork Orange,1971,8.3,"Crime,Sci-Fi"
103,104.0,Double Indemnity,1944,8.3,"Crime,Drama,Film-Noir"
104,105.0,Full Metal Jacket,1987,8.3,"Drama,War"
105,106.0,Top Gun: Maverick,2022,8.3,"Action,Drama"
